fp_kanban_header_id,org_code,description,item_number,item_description,effective_from,effective_to,subinventory,locator,source_type,supplier,supplier_site,from_org_code,from_subinventory,from_locator,planning_only_cb,auto_request_cb,calculate,card_size,noof_card,moq,lead_time,allocation_per,flm,ssd,rfid_reference
1240,SPG,,1139133,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 35mmL, Steel, Zinc, Blue Passivate, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C59317C5A000045
1241,SPG,,1142768,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 10mmL, Steel, Zinc, Blue Passivate, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C59D77558000055
1242,SPG,,1143552,"Screw, Cap, Hex Socket Drive, M5 x 6mmL, Steel Zinc, Blue Passivate, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C57417A59000011
1243,SPG,,1163026,"screw DIN 912 M2.5x5 A2, electropolished",,,EXP-04,EXP-04.04.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,150,1,,,,,,AD4808021C58E1795900003D
1244,SPG,,1163029,"screw DIN 7991 M3x8 A2, baked, electropolished",,,EXP-04,EXP-04.04.03.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C59457D56000047
1245,SPG,,1172875,"O-Ring, 14mmID x 1.5mmW, Shore 80, Vi500, Black",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,80,1,,,,,,AD4808021C58A97956000036
1246,SPG,,1218789,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 12mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,500,1,,,,,,AD4808021C59FD7A56000059
1247,SPG,,1218790,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 16mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,500,1,,,,,,AD4808021C59E9755C000057
1248,SPG,,1218794,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 45mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C59A57856000050
1249,SPG,,1218816,"Screw, Cap, Socket Head, Hex Socket Drive, M4 x 8mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C57877958000018
1250,SPG,,1218819,"Screw, Cap, Socket Head, Hex Socket Drive, M4 x 20mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C59F5765B000058
1251,SPG,,1218827,"Screw, Cap, Socket Head, Hex Socket Drive, M6 x 8mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C5975795600004C
1252,SPG,,1218828,"Screw, Cap, Socket Head, Hex Socket Drive, M8 x 10mmL, Steel, Zinc, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C593B7958000046
